sp,diet
Taphozous melanopogon,Coleoptera
Taphozous melanopogon,Lepidoptera
Taphozous melanopogon,Orthoptera
Taphozous melanopogon,Hemiptera
Taphozous melanopogon,Odonata
Taphozous melanopogon,Arachnida
Taphozous melanopogon,Diptera
Taphozous melanopogon,Dermaptera
Taphozous melanopogon,Trichoptera
Taphozous melanopogon,Neuroptera
Taphozous melanopogon,Emphemeroptera
Taphozous melanopogon,Homoptera
Taphozous nudiventris,Coleoptera
Taphozous nudiventris,Orthoptera
Taphozous nudiventris,Hemiptera
Taphozous nudiventris,Hymenoptera
Megaderma (Lyroderma) lyra,Coleoptera
Megaderma (Lyroderma) lyra,Hemiptera
Megaderma (Lyroderma) lyra,Orthoptera
Megaderma (Lyroderma) lyra,Vertebrata
Rhinopoma microphyllum,Coleoptera
Rhinopoma microphyllum,Hymenoptera
Rhinopoma microphyllum,Hemiptera
Rhinopoma microphyllum,Diptera
Rhinopoma microphyllum,Orthoptera
Rhinopoma microphyllum,Isoptera
Rhinopoma microphyllum,Neuroptera
Rhinopoma microphyllum,Lepidoptera
Rhinopoma microphyllum,Dictyoptera
Rhinopoma hardwickii,Orthoptera
Rhinopoma hardwickii,Isoptera
Rhinopoma hardwickii,Dictyoptera
Rhinopoma hardwickii,Lepidoptera
Rhinopoma hardwickii,Hymenoptera
Rhinopoma hardwickii,Neuroptera
Rhinopoma hardwickii,Diptera
Rhinopoma hardwickii,Coleoptera
Rhinopoma hardwickii,Arachnida
Rhinolophus lepidus,Coleoptera
Rhinolophus lepidus,Hymenoptera
Rhinolophus lepidus,Hemiptera
Rhinolophus lepidus,Lepidoptera
Hipposideros ater,Arachnida
Hipposideros ater,Orthoptera
Hipposideros ater,Mantodea
Hipposideros ater,Blattaria
Hipposideros ater,Isoptera
Hipposideros ater,Hemiptera
Hipposideros ater,Coleoptera
Hipposideros ater,Neuroptera
Hipposideros ater,Diptera
Hipposideros ater,Lepidoptera
Hipposideros ater,Hymenoptera
Hipposideros ater,Trichoptera
Hipposideros ater,Dermoptera
Scotophilus kuhlii,Coleoptera
Scotophilus kuhlii,Diptera
Scotophilus kuhlii,Lepidoptera
Scotophilus kuhlii,Orthoptera
Scotophilus kuhlii,Isoptera
Scotophilus kuhlii,Hemiptera
Scotophilus kuhlii,Hymenoptera
Scotophilus kuhlii,Odonata
Scotophilus kuhlii,Blattodea
Scotophilus kuhlii,Thysanoptera
Scotophilus kuhlii,Mantodea
Hipposideros durgadasi,Coleoptera
Hipposideros durgadasi,Diptera
Hipposideros durgadasi,Lepidoptera
Hipposideros durgadasi,Hymenoptera
Hipposideros durgadasi,Thysanoptera
Hipposideros durgadasi,Blattodea
Hipposideros durgadasi,Odonata
Hipposideros durgadasi,Mantodea
Hipposideros durgadasi,Orthoptera
Hipposideros durgadasi,Neuroptera
Hipposideros speoris,Coleoptera
Hipposideros speoris,Diptera
Hipposideros speoris,Lepidoptera
Hipposideros speoris,Hymenoptera
Hipposideros speoris,Thysanoptera
Hipposideros speoris,Blattodea
Hipposideros speoris,Odonata
Hipposideros speoris,Hemiptera
Hipposideros speoris,Orthoptera
Hipposideros speoris,Neuroptera
Megaderma spasma,Orthoptera
Megaderma spasma,Coleoptera
Megaderma spasma,Homoptera
Megaderma spasma,Dictyoptera
Megaderma spasma,Phasmida
Megaderma spasma,Isoptera
Megaderma spasma,Vertebrata
Megaderma spasma,Lepidoptera
Pipistrellus tenuis,Coleoptera
Pipistrellus tenuis,Diptera
Pipistrellus tenuis,Homoptera
Pipistrellus tenuis,Lepidoptera
Pipistrellus tenuis,Hymenoptera
Pipistrellus tenuis,Hemiptera
Pipistrellus tenuis,Isoptera
Pipistrellus tenuis,Trichoptera
Pipistrellus coromandra,Arachnida
Pipistrellus coromandra,Odonata
Pipistrellus coromandra,Orthoptera
Pipistrellus coromandra,Mantodea
Pipistrellus coromandra,Blattaria
Pipistrellus coromandra,Isoptera
Pipistrellus coromandra,Hemiptera
Pipistrellus coromandra,Neuroptera
Pipistrellus coromandra,Coleoptera
Pipistrellus coromandra,Diptera
Pipistrellus coromandra,Lepidoptera
Pipistrellus coromandra,Hymenoptera
Ia io,Vertebrata
Ia io,Coleoptera
Ia io,Lepidoptera
Ia io,Diptera
Ia io,Orthoptera
Ia io,Hemiptera
Ia io,Arachnida
